Width * Height,Kernel Size,Clusters,Threads,Time
6204 * 4138,3,4,4,0.057500
6204 * 4138,3,4,4,0.045318
6204 * 4138,3,4,4,0.045320
6204 * 4138,3,4,4,0.055426
6204 * 4138,3,4,4,0.044072
6204 * 4138,5,4,4,0.115224
6204 * 4138,5,4,4,0.100402
8000 * 8000,3,4,4,0.125849
8000 * 8000,3,4,4,0.111345
8000 * 8000,3,4,4,0.108257
8000 * 8000,3,4,4,0.103004
8000 * 8000,3,4,4,0.115485
8000 * 8000,5,4,4,0.246813
8000 * 8000,5,4,4,0.240909
16800 * 12600,3,4,4,0.599494
16800 * 12600,3,4,4,0.361528
16800 * 12600,3,4,4,0.378597
16800 * 12600,3,4,4,0.367849
16800 * 12600,3,4,4,0.393042
16800 * 12600,5,4,4,0.844180
16800 * 12600,5,4,4,0.788146
