Width * Height,Kernel Size,Clusters,Threads,Time
6204 * 4138,3,1,4,0.077311
6204 * 4138,3,1,4,0.074366
6204 * 4138,3,1,4,0.074357
6204 * 4138,3,1,4,0.073923
6204 * 4138,3,1,4,0.073984
6204 * 4138,5,1,4,0.178369
6204 * 4138,5,1,4,0.178069
8000 * 8000,3,1,4,0.189730
8000 * 8000,3,1,4,0.183244
8000 * 8000,3,1,4,0.184645
8000 * 8000,3,1,4,0.183335
8000 * 8000,3,1,4,0.183242
8000 * 8000,5,1,4,0.442306
8000 * 8000,5,1,4,0.446875
16800 * 12600,3,1,4,0.635889
16800 * 12600,3,1,4,0.605229
16800 * 12600,3,1,4,0.609554
16800 * 12600,3,1,4,0.607917
16800 * 12600,3,1,4,0.613715
16800 * 12600,5,1,4,1.469712
16800 * 12600,5,1,4,1.466363
