Width * Height,Kernel Size,Clusters,Threads,Time
6204 * 4138,3,1,1,0.271678
6204 * 4138,3,1,1,0.262117
6204 * 4138,3,1,1,0.264406
6204 * 4138,3,1,1,0.260846
6204 * 4138,3,1,1,0.261284
6204 * 4138,5,1,1,0.633732
6204 * 4138,5,1,1,0.640458
8000 * 8000,3,1,1,0.718314
8000 * 8000,3,1,1,0.700141
8000 * 8000,3,1,1,0.668441
8000 * 8000,3,1,1,0.676671
8000 * 8000,3,1,1,0.677612
8000 * 8000,5,1,1,1.582004
8000 * 8000,5,1,1,1.577242
16800 * 12600,3,1,1,2.280576
16800 * 12600,3,1,1,2.170612
16800 * 12600,3,1,1,2.168744
16800 * 12600,3,1,1,2.193145
16800 * 12600,3,1,1,2.178929
16800 * 12600,5,1,1,5.304770
16800 * 12600,5,1,1,5.328440
