Width * Height,Kernel Size,Serial Speedup,Threads,Multithreaded Speedup,Clusters,Threads,Distributed Speedup,Shared Speedup,Task Pool Speedup
6204 * 4138,3,1.000000,2,1.750138,2,1,1.659834,1.387395,0.909593
6204 * 4138,3,1.000000,2,1.834097,2,1,1.784561,1.507688,0.882345
6204 * 4138,3,1.000000,2,1.832109,2,1,1.838038,1.460929,0.815669
6204 * 4138,3,1.000000,2,1.788630,2,1,1.815223,1.467133,0.881546
6204 * 4138,3,1.000000,2,1.809074,2,1,1.827015,1.461030,0.882398
6204 * 4138,5,1.000000,2,1.847900,2,1,1.889083,1.657027,0.944174
6204 * 4138,5,1.000000,2,1.838562,2,1,1.883964,1.707979,0.940200
8000 * 8000,3,1.000000,2,1.841725,2,1,1.747399,1.526126,0.908761
8000 * 8000,3,1.000000,2,1.879834,2,1,1.830397,1.562090,0.911497
8000 * 8000,3,1.000000,2,1.807999,2,1,1.762150,1.484347,0.881299
8000 * 8000,3,1.000000,2,1.800411,2,1,1.812871,1.505090,0.858882
8000 * 8000,3,1.000000,2,1.803896,2,1,1.770479,1.495167,0.888464
8000 * 8000,5,1.000000,2,1.808303,2,1,1.816938,1.702638,0.934956
8000 * 8000,5,1.000000,2,1.811553,2,1,1.838871,1.714789,0.914173
16800 * 12600,3,1.000000,2,1.865937,2,1,1.433750,1.509431,0.931239
16800 * 12600,3,1.000000,2,1.798638,2,1,1.730365,1.516874,0.884646
16800 * 12600,3,1.000000,2,1.781933,2,1,1.816110,1.506469,0.888897
16800 * 12600,3,1.000000,2,1.780486,2,1,1.825891,1.498604,0.901749
16800 * 12600,3,1.000000,2,1.803419,2,1,1.817003,1.522838,0.895640
16800 * 12600,5,1.000000,2,1.820570,2,1,1.832461,1.673287,0.931373
16800 * 12600,5,1.000000,2,1.831672,2,1,1.870324,1.709090,0.928003
6204 * 4138,3,1.000000,4,3.517370,2,2,2.780042,1.959229,1.635458
6204 * 4138,3,1.000000,4,3.550748,2,2,3.411929,2.419536,1.643318
6204 * 4138,3,1.000000,4,3.568127,2,2,3.422257,2.439888,1.629139
6204 * 4138,3,1.000000,4,3.528667,2,2,3.419019,2.439153,1.619646
6204 * 4138,3,1.000000,4,3.539314,2,2,3.395667,2.427239,1.614249
6204 * 4138,5,1.000000,4,3.563248,2,2,3.494269,3.068464,1.772537
6204 * 4138,5,1.000000,4,3.573091,2,2,3.583861,3.058560,1.804184
8000 * 8000,3,1.000000,4,3.526385,2,2,2.602247,1.537240,1.721412
8000 * 8000,3,1.000000,4,3.593031,2,2,2.822586,2.522085,1.697280
8000 * 8000,3,1.000000,4,3.619261,2,2,2.876344,2.565805,1.721648
8000 * 8000,3,1.000000,4,3.548111,2,2,2.767431,2.530539,1.659969
8000 * 8000,3,1.000000,4,3.571305,2,2,2.823655,2.522213,1.643601
8000 * 8000,5,1.000000,4,3.571818,2,2,3.475328,2.957994,1.810767
8000 * 8000,5,1.000000,4,3.600456,2,2,3.584377,3.103620,1.813970
16800 * 12600,3,1.000000,4,3.730350,2,2,2.726531,2.406439,1.625940
16800 * 12600,3,1.000000,4,3.537324,2,2,3.256480,2.526147,1.677189
16800 * 12600,3,1.000000,4,3.575510,2,2,3.487365,2.591584,1.699209
16800 * 12600,3,1.000000,4,3.589202,2,2,3.448226,2.553155,1.689843
16800 * 12600,3,1.000000,4,3.550773,2,2,3.409489,2.485215,1.677247
16800 * 12600,5,1.000000,4,3.606295,2,2,3.563319,3.171464,1.798746
16800 * 12600,5,1.000000,4,3.503778,2,2,3.567919,3.120428,1.782398
6204 * 4138,3,1.000000,8,5.687115,2,4,4.341088,3.256719,2.055388
6204 * 4138,3,1.000000,8,5.724512,2,4,5.715845,3.263521,2.902289
6204 * 4138,3,1.000000,8,5.745812,2,4,6.220564,3.601296,2.941037
6204 * 4138,3,1.000000,8,5.478745,2,4,6.004676,3.510796,2.901356
6204 * 4138,3,1.000000,8,5.241072,2,4,6.009559,3.050535,2.903489
6204 * 4138,5,1.000000,8,4.750722,2,4,6.862638,4.921859,3.491227
6204 * 4138,5,1.000000,8,6.054558,2,4,6.820298,4.947307,3.346086
8000 * 8000,3,1.000000,8,5.585617,2,4,5.915831,1.953377,3.029838
8000 * 8000,3,1.000000,8,5.647393,2,4,6.129416,3.139005,2.951350
8000 * 8000,3,1.000000,8,5.772453,2,4,4.529872,3.673642,2.953000
8000 * 8000,3,1.000000,8,5.857080,2,4,5.945205,3.628364,2.951632
8000 * 8000,3,1.000000,8,6.062394,2,4,6.094184,3.717448,2.949658
8000 * 8000,5,1.000000,8,5.987624,2,4,6.614967,5.053775,3.352803
8000 * 8000,5,1.000000,8,6.303585,2,4,6.689976,4.851041,3.353210
16800 * 12600,3,1.000000,8,6.118161,2,4,5.232120,2.425171,2.964041
16800 * 12600,3,1.000000,8,6.072280,2,4,6.124971,3.660644,3.065507
16800 * 12600,3,1.000000,8,6.158728,2,4,6.190588,3.645817,3.069142
16800 * 12600,3,1.000000,8,6.159331,2,4,6.266308,3.704818,3.080810
16800 * 12600,3,1.000000,8,6.098498,2,4,5.932427,3.674963,3.067197
16800 * 12600,5,1.000000,8,6.112564,2,4,6.606418,5.222135,3.406788
16800 * 12600,5,1.000000,8,6.160257,2,4,6.695496,5.262717,3.416418
6204 * 4138,3,1.000000,4,3.478327,4,1,2.785004,2.549134,2.715763
