Width * Height,Kernel Size,Clusters,Threads,Time
6204 * 4138,3,4,4,0.047919
6204 * 4138,3,4,4,0.045031
6204 * 4138,3,4,4,0.045071
6204 * 4138,3,4,4,0.044907
6204 * 4138,3,4,4,0.044636
6204 * 4138,5,4,4,0.102414
6204 * 4138,5,4,4,0.104111
8000 * 8000,3,4,4,0.116261
8000 * 8000,3,4,4,0.111137
8000 * 8000,3,4,4,0.109446
8000 * 8000,3,4,4,0.112580
8000 * 8000,3,4,4,0.115409
8000 * 8000,5,4,4,0.253269
8000 * 8000,5,4,4,0.253308
16800 * 12600,3,4,4,0.369439
16800 * 12600,3,4,4,0.354293
16800 * 12600,3,4,4,0.359705
16800 * 12600,3,4,4,0.353733
16800 * 12600,3,4,4,0.354918
16800 * 12600,5,4,4,0.827761
16800 * 12600,5,4,4,0.822434
