Width * Height,Kernel Size,Serial Time,Threads,Multithreaded Time,Clusters,Threads,Distributed Time,Shared Time,Task Pool Time
6204 * 4138,3,0.262946,2,0.150243,2,1,0.158417,0.189525,0.289081
6204 * 4138,3,0.254846,2,0.138949,2,1,0.142806,0.169031,0.288828
6204 * 4138,3,0.254447,2,0.138882,2,1,0.138434,0.174168,0.311949
6204 * 4138,3,0.249555,2,0.139523,2,1,0.137479,0.170097,0.283088
6204 * 4138,3,0.251284,2,0.138902,2,1,0.137538,0.171991,0.284774
6204 * 4138,5,0.630217,2,0.341045,2,1,0.333610,0.380330,0.667480
6204 * 4138,5,0.627720,2,0.341419,2,1,0.333191,0.367522,0.667645
8000 * 8000,3,0.656599,2,0.356513,2,1,0.375758,0.430239,0.722521
8000 * 8000,3,0.649650,2,0.345589,2,1,0.354923,0.415885,0.712729
8000 * 8000,3,0.623868,2,0.345060,2,1,0.354038,0.420298,0.707896
8000 * 8000,3,0.628673,2,0.349183,2,1,0.346783,0.417698,0.731967
8000 * 8000,3,0.626677,2,0.347402,2,1,0.353959,0.419135,0.705349
8000 * 8000,5,1.553291,2,0.858977,2,1,0.854895,0.912285,1.661352
8000 * 8000,5,1.551064,2,0.856207,2,1,0.843487,0.904522,1.696686
16800 * 12600,3,2.196643,2,1.177233,2,1,1.532096,1.455279,2.358838
16800 * 12600,3,2.073501,2,1.152817,2,1,1.198303,1.366957,2.343876
16800 * 12600,3,2.076155,2,1.165114,2,1,1.143188,1.378160,2.335653
16800 * 12600,3,2.089416,2,1.173509,2,1,1.144327,1.394242,2.317070
16800 * 12600,3,2.073010,2,1.149489,2,1,1.140895,1.361281,2.314557
16800 * 12600,5,5.153554,2,2.830737,2,1,2.812368,3.079898,5.533289
16800 * 12600,5,5.172939,2,2.824163,2,1,2.765798,3.026722,5.574271
6204 * 4138,3,0.256659,4,0.072969,2,2,0.092322,0.131000,0.156934
6204 * 4138,3,0.250555,4,0.070564,2,2,0.073435,0.103555,0.152469
6204 * 4138,3,0.250718,4,0.070266,2,2,0.073261,0.102758,0.153896
6204 * 4138,3,0.249879,4,0.070814,2,2,0.073085,0.102445,0.154280
6204 * 4138,3,0.249826,4,0.070586,2,2,0.073572,0.102926,0.154763
6204 * 4138,5,0.618587,4,0.173602,2,2,0.177029,0.201595,0.348984
6204 * 4138,5,0.619499,4,0.173379,2,2,0.172858,0.202546,0.343368
8000 * 8000,3,0.638914,4,0.181181,2,2,0.245524,0.415624,0.371157
8000 * 8000,3,0.629129,4,0.175097,2,2,0.222891,0.249448,0.370669
8000 * 8000,3,0.636371,4,0.175829,2,2,0.221243,0.248020,0.369629
8000 * 8000,3,0.623325,4,0.175678,2,2,0.225236,0.246321,0.375504
8000 * 8000,3,0.625239,4,0.175073,2,2,0.221429,0.247893,0.380408
8000 * 8000,5,1.552787,4,0.434733,2,2,0.446803,0.524946,0.857530
8000 * 8000,5,1.552254,4,0.431127,2,2,0.433061,0.500143,0.855722
16800 * 12600,3,2.163170,4,0.579884,2,2,0.793378,0.898909,1.330412
16800 * 12600,3,2.071991,4,0.585751,2,2,0.636267,0.820218,1.235395
16800 * 12600,3,2.099704,4,0.587246,2,2,0.602089,0.810201,1.235695
16800 * 12600,3,2.081511,4,0.579937,2,2,0.603647,0.815270,1.231778
16800 * 12600,3,2.062328,4,0.580811,2,2,0.604879,0.829839,1.229591
16800 * 12600,5,5.170533,4,1.433752,2,2,1.451044,1.630330,2.874521
16800 * 12600,5,5.147333,4,1.469081,2,2,1.442671,1.649560,2.887869
6204 * 4138,3,0.262358,8,0.046132,2,4,0.060436,0.080559,0.127644
6204 * 4138,3,0.252949,8,0.044187,2,4,0.044254,0.077508,0.087155
6204 * 4138,3,0.253488,8,0.044117,2,4,0.040750,0.070388,0.086190
6204 * 4138,3,0.251710,8,0.045943,2,4,0.041919,0.071696,0.086756
6204 * 4138,3,0.250214,8,0.047741,2,4,0.041636,0.082023,0.086177
6204 * 4138,5,0.650084,8,0.136839,2,4,0.094728,0.132081,0.186205
6204 * 4138,5,0.623232,8,0.102936,2,4,0.091379,0.125974,0.186257
8000 * 8000,3,0.640229,8,0.114621,2,4,0.108223,0.327755,0.211308
8000 * 8000,3,0.623331,8,0.110375,2,4,0.101695,0.198576,0.211202
8000 * 8000,3,0.623777,8,0.108061,2,4,0.137703,0.169798,0.211235
8000 * 8000,3,0.625501,8,0.106794,2,4,0.105211,0.172392,0.211917
8000 * 8000,3,0.625245,8,0.103135,2,4,0.102597,0.168192,0.211972
8000 * 8000,5,1.544747,8,0.257990,2,4,0.233523,0.305662,0.460733
8000 * 8000,5,1.544227,8,0.244976,2,4,0.230827,0.318329,0.460522
16800 * 12600,3,2.139937,8,0.349768,2,4,0.409000,0.882386,0.721966
16800 * 12600,3,2.063227,8,0.339778,2,4,0.336855,0.563624,0.673046
16800 * 12600,3,2.061899,8,0.334793,2,4,0.333070,0.565552,0.671816
16800 * 12600,3,2.072738,8,0.336520,2,4,0.330775,0.559471,0.672790
16800 * 12600,3,2.065671,8,0.338718,2,4,0.348200,0.562093,0.673472
16800 * 12600,5,5.130868,8,0.839397,2,4,0.776649,0.982523,1.506072
16800 * 12600,5,5.122697,8,0.831572,2,4,0.765096,0.973394,1.499435
6204 * 4138,3,0.262158,4,0.075369,4,1,0.094132,0.102842,0.096532
